        TIME,    TIDE,      OB,   SURGE,    BIAS,     TWL,SURGE90p,  TWL90p,SURGE10p,   TWL10p
202604231800,   1.922,   1.659,   0.400,  -0.663,   1.659,   0.400,   1.659,   0.500,   1.759
202604231806,   1.797,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604231812,   1.675,   1.439,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604231818,   1.556,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604231824,   1.442,   1.249,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604231830,   1.333,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604231836,   1.231,   1.059,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604231842,   1.136,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604231848,   1.050,   0.888,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604231854,   0.974,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604231900,   0.908,   0.741,   0.500,  -0.667,   0.741,   0.400,   0.641,   0.500,   0.741
202604231906,   0.854,   0.678,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604231912,   0.813,   0.600,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604231918,   0.784,   0.541,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604231924,   0.769,   0.498,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604231930,   0.768,   0.469,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604231936,   0.781,   0.449,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604231942,   0.808,   0.478,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604231948,   0.849,   0.531,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604231954,   0.904,   0.629,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604232000,   0.973,   0.819,   0.500,  -0.654,   0.819,   0.500,   0.819,   0.500,   0.819
202604232006,   1.054,   1.029,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604232012,   1.148,   1.249,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604232018,   1.254,   1.498,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604232024,   1.370,   1.728,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604232030,   1.496,   1.938,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604232036,   1.630,   2.128,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604232042,   1.773,   2.318,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604232048,   1.923,   2.499,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604232054,   2.078,   2.679,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604232100,   2.239,   2.850,   0.500,   0.111,   2.850,   0.500,   2.850,   0.500,   2.850
202604232106,   2.403,   3.007,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604232112,   2.571,   3.168,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604232118,   2.741,   3.329,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604232124,   2.913,   3.480,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604232130,   3.087,   3.660,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604232136,   3.260,   3.847,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604232142,   3.434,   4.047,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604232148,   3.607,   4.257,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604232154,   3.779,   4.490,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604232200,   3.950,   4.729,   0.500,   0.279,   4.729,   0.500,   4.729,   0.500,   4.729
202604232206,   4.119,   4.988,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
